Club,Elo,date
Barcelona,2041,2019-04-28 16:59:29.875005
Man City,2020,2019-04-28 16:59:29.875005
Liverpool,2009,2019-04-28 16:59:29.875005
Bayern,1946,2019-04-28 16:59:29.875005
Juventus,1918,2019-04-28 16:59:29.875005
Tottenham,1913,2019-04-28 16:59:29.875005
Atlético,1911,2019-04-28 16:59:29.875005
Real Madrid,1891,2019-04-28 16:59:29.875005
Arsenal,1871,2019-04-28 16:59:29.875005
Man United,1858,2019-04-28 16:59:29.875005
Paris SG,1858,2019-04-28 16:59:29.875005
Chelsea,1858,2019-04-28 16:59:29.875005
Dortmund,1831,2019-04-28 16:59:29.875005
Valencia,1824,2019-04-28 16:59:29.875005
Ajax,1818,2019-04-28 16:59:29.875005
Porto,1811,2019-04-28 16:59:29.875005
Napoli,1797,2019-04-28 16:59:29.875005
RB Leipzig,1786,2019-04-28 16:59:29.875005
Frankfurt,1786,2019-04-28 16:59:29.875005
Benfica,1778,2019-04-28 16:59:29.875005
Getafe,1775,2019-04-28 16:59:29.875005
Sevilla,1769,2019-04-28 16:59:29.875005
Hoffenheim,1768,2019-04-28 16:59:29.875005
Salzburg,1766,2019-04-28 16:59:29.875005
Everton,1746,2019-04-28 16:59:29.875005
Bilbao,1740,2019-04-28 16:59:29.875005
Villarreal,1737,2019-04-28 16:59:29.875005
Шахтар,1735,2019-04-28 16:59:29.875005
Inter,1733,2019-04-28 16:59:29.875005
Roma,1732,2019-04-28 16:59:29.875005
Leverkusen,1721,2019-04-28 16:59:29.875005
PSV,1720,2019-04-28 16:59:29.875005
Crystal Palace,1720,2019-04-28 16:59:29.875005
Atalanta,1719,2019-04-28 16:59:29.875005
Sporting,1716,2019-04-28 16:59:29.875005
Werder,1712,2019-04-28 16:59:29.875005
Leicester,1710,2019-04-28 16:59:29.875005
Watford,1706,2019-04-28 16:59:29.875005
Lyon,1701,2019-04-28 16:59:29.875005
Gladbach,1701,2019-04-28 16:59:29.875005
Real Sociedad,1700,2019-04-28 16:59:29.875005
Espanyol,1700,2019-04-28 16:59:29.875005
Milan,1700,2019-04-28 16:59:29.875005
Eibar,1699,2019-04-28 16:59:29.875005
Wolves,1697,2019-04-28 16:59:29.875005
ЦСКА,1696,2019-04-28 16:59:29.875005
Young Boys,1695,2019-04-28 16:59:29.875005
Alavés,1694,2019-04-28 16:59:29.875005
Newcastle,1694,2019-04-28 16:59:29.875005
Зенит,1691,2019-04-28 16:59:29.875005
Burnley,1688,2019-04-28 16:59:29.875005
Wolfsburg,1684,2019-04-28 16:59:29.875005
Torino,1682,2019-04-28 16:59:29.875005
Southampton,1682,2019-04-28 16:59:29.875005
Leganes,1678,2019-04-28 16:59:29.875005
West Ham,1678,2019-04-28 16:59:29.875005
Celta,1675,2019-04-28 16:59:29.875005
Bournemouth,1674,2019-04-28 16:59:29.875005
Dinamo Zagreb,1672,2019-04-28 16:59:29.875005
Betis,1672,2019-04-28 16:59:29.875005
Levante,1671,2019-04-28 16:59:29.875005
Динамо Київ,1668,2019-04-28 16:59:29.875005
Lazio,1668,2019-04-28 16:59:29.875005
Lille,1658,2019-04-28 16:59:29.875005
ΠΑΟΚ,1652,2019-04-28 16:59:29.875005
Ολυμπιακός,1645,2019-04-28 16:59:29.875005
Slavia Praha,1645,2019-04-28 16:59:29.875005
Saint-Étienne,1644,2019-04-28 16:59:29.875005
Marseille,1642,2019-04-28 16:59:29.875005
Локомотив Москва,1641,2019-04-28 16:59:29.875005
Girona,1641,2019-04-28 16:59:29.875005
Краснодар,1636,2019-04-28 16:59:29.875005
Braga,1635,2019-04-28 16:59:29.875005
Beşiktaş,1634,2019-04-28 16:59:29.875005
Fiorentina,1632,2019-04-28 16:59:29.875005
Genk,1632,2019-04-28 16:59:29.875005
Başakşehir,1628,2019-04-28 16:59:29.875005
Osasuna,1627,2019-04-28 16:59:29.875005
Hertha,1627,2019-04-28 16:59:29.875005
Schalke,1626,2019-04-28 16:59:29.875005
Huesca,1625,2019-04-28 16:59:29.875005
Brugge,1625,2019-04-28 16:59:29.875005
Mainz,1623,2019-04-28 16:59:29.875005
FC København,1619,2019-04-28 16:59:29.875005
Augsburg,1619,2019-04-28 16:59:29.875005
Aston Villa,1613,2019-04-28 16:59:29.875005
Sampdoria,1612,2019-04-28 16:59:29.875005
Valladolid,1611,2019-04-28 16:59:29.875005
ΑΠΟΕΛ,1609,2019-04-28 16:59:29.875005
Norwich,1608,2019-04-28 16:59:29.875005
Montpellier,1608,2019-04-28 16:59:29.875005
Sheffield United,1607,2019-04-28 16:59:29.875005
Спартак Москва,1606,2019-04-28 16:59:29.875005
Freiburg,1604,2019-04-28 16:59:29.875005
Basel,1604,2019-04-28 16:59:29.875005
Brighton,1601,2019-04-28 16:59:29.875005
Rennes,1599,2019-04-28 16:59:29.875005
Galatasaray,1597,2019-04-28 16:59:29.875005
West Brom,1597,2019-04-28 16:59:29.875005
Cadiz,1591,2019-04-28 16:59:29.875005
Köln,1589,2019-04-28 16:59:29.875005
Feyenoord,1589,2019-04-28 16:59:29.875005
Rayo Vallecano,1589,2019-04-28 16:59:29.875005
Cardiff,1588,2019-04-28 16:59:29.875005
Fulham,1587,2019-04-28 16:59:29.875005
Granada,1584,2019-04-28 16:59:29.875005
Nice,1583,2019-04-28 16:59:29.875005
Reims,1581,2019-04-28 16:59:29.875005
Viktoria Plzeň,1581,2019-04-28 16:59:29.875005
Düsseldorf,1580,2019-04-28 16:59:29.875005
Gijón,1579,2019-04-28 16:59:29.875005
Monaco,1576,2019-04-28 16:59:29.875005
Bordeaux,1575,2019-04-28 16:59:29.875005
Albacete,1571,2019-04-28 16:59:29.875005
Málaga,1570,2019-04-28 16:59:29.875005
Celtic,1570,2019-04-28 16:59:29.875005
Nîmes,1563,2019-04-28 16:59:29.875005
Standard,1562,2019-04-28 16:59:29.875005
Sassuolo,1562,2019-04-28 16:59:29.875005
Strasbourg,1562,2019-04-28 16:59:29.875005
Απόλλων Λεμεσός,1561,2019-04-28 16:59:29.875005
Stuttgart,1561,2019-04-28 16:59:29.875005
Partizan,1560,2019-04-28 16:59:29.875005
Ростов,1559,2019-04-28 16:59:29.875005
Depor,1559,2019-04-28 16:59:29.875005
Leeds,1558,2019-04-28 16:59:29.875005
Angers,1557,2019-04-28 16:59:29.875005
Nantes,1555,2019-04-28 16:59:29.875005
Rapid Wien,1554,2019-04-28 16:59:29.875005
Spal,1554,2019-04-28 16:59:29.875005
Ту́ла,1553,2019-04-28 16:59:29.875005
LASK,1553,2019-04-28 16:59:29.875005
Malmö,1553,2019-04-28 16:59:29.875005
AEK,1553,2019-04-28 16:59:29.875005
Midtjylland,1552,2019-04-28 16:59:29.875005
Cagliari,1552,2019-04-28 16:59:29.875005
Hamburg,1548,2019-04-28 16:59:29.875005
Rijeka,1547,2019-04-28 16:59:29.875005
Alkmaar,1546,2019-04-28 16:59:29.875005
מכבי תל אביב,1545,2019-04-28 16:59:29.875005
Терек,1543,2019-04-28 16:59:29.875005
Almería,1543,2019-04-28 16:59:29.875005
Лудогорец,1542,2019-04-28 16:59:29.875005
